,Username,Name,No_of_followers,No_of_followees,Tweet,Location,Created_at,Like_count,Retweet_count,to0,to1,to2,to3,to4,to5
770,roymz_13,blackcatgedombrang,744,696,"@conan_idn @corbuzier haha.. dedi cahyadi mana berani..
ya kan ded?",Medan Merdeka Timur,12/6/2021 14:52,0,0,conan_idn,corbuzier,,,,
771,AdisusantGePks,Adi susanto,4,280,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 14:51,0,792,conan_idn,corbuzier,,,,
772,ludfikapten,tukang sapu,225,503,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…","Kota Surabaya, Jawa Timur",12/6/2021 14:51,0,792,conan_idn,corbuzier,,,,
773,hmydarman,Papa Aisy,1523,1857,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…","DKI Jakarta, Indonesia",12/6/2021 14:51,0,792,conan_idn,corbuzier,,,,
774,hmydarman,Papa Aisy,1523,1857,"RT @PariAgoes: Kalau mau berada di tengah dan fair, maka @corbuzier akan mengundang pihak yang seimbang dalam mengurai tentang HRS, bisa HB…","DKI Jakarta, Indonesia",12/6/2021 14:50,0,2,PariAgoes,corbuzier,,,,
775,AdhieJo,wakwakland,97,399,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",DKI JAKARTA,12/6/2021 14:46,0,792,conan_idn,corbuzier,,,,
776,wongkalibanteng,Rengga Maulana,4554,4993,RT @AfniZulkifli: @heriawanadiwan4 @HusinShihab @GreenpeaceID @jokowi @kurawa @GunRomli @nongandah @henrysubiakto @AdeArmando24 @corbuzier…,,12/6/2021 14:38,0,2,AfniZulkifli,heriawanadiwan4,HusinShihab,GreenpeaceID,jokowi,corbuzier
777,Tarsumi3,Tarsumi,18,63,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 14:17,0,792,conan_idn,corbuzier,,,,
778,TaufikI70348691,I_smile,705,1919,"@MaulanaLannn @corbuzier Aku udh ngira si dedi ni jd buzer jg. Mesti komplotan luhut, hendro, sm Dudung yg diundang. G pernah konfirm ato ngundang pihak yg bersebelahan",Gresik indonesia,12/6/2021 14:10,1,0,MaulanaLannn,corbuzier,,,,
779,fxdennypradana,Fx. Denny Pradana,632,470,@KomediRetjeh Nuwun sewu Om @corbuzier,Somewhere of nowhere,12/6/2021 14:05,1,0,KomediRetjeh,corbuzier,,,,
780,Laopo20,Zona_Indonesia Bangkit ????,843,804,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 13:38,0,792,conan_idn,corbuzier,,,,
781,ordinarycak,Tarjono,61,349,"RT @PFTee: ??
Thank you @TretanMuslim menghibur kesedihan kami atas adanya problem sosial sebagian masyarakat Ind yg tidak toleran dgn cara…",,12/6/2021 13:27,0,10,PFTee,,,,,
